code,title
61803,广播影视舞台设备安装调试及运行操作人员
61804,电影放映人员
61805,文物保护作业人员
61809,其他广播影视制品制作、播放及文物保护作业
61809,其他广播影视制品制作、播放及文物保护作业人员
61900,印刷人员
61901,印前处理人员
61902,印刷操作人员
61903,印后制作人员
61909,其他印刷人员
62000,工艺、美术品制作人员
62001,珠宝首饰加工制作人员
62002,地毯制作人员
62003,玩具制作人员
62004,漆器工艺品制作人员
62005,抽纱、刺绣工艺品制作人员
62006,金属工艺品制作人员
62007,雕刻工艺品制作人员
62008,美术品制作人员
62009,其他工艺、美术品制作人员
62100,文化教育、体育用品制作人员
62101,文教用品制作人员
62102,体育用品制作人员
62103,乐器制作人员
62109,其他文化教育、体育用品制作人员
62200,工程施工人员
62201,土石方施工人员
62202,砌筑人员
62203,混凝土配制及制品加工人员
62204,钢筋加工人员
62205,施工架子搭设人员
62206,工程防水人员
62207,装饰、装修人员
62208,古建筑修建人员
62209,筑路、养护、维修人员
62211,工程设备安装人员
62219,其他工程施工人员
62300,运输设备操作人员及有关人员
62301,公（道）路运输机械设备操作及有关人员
62302,铁路、地铁运输机械设备操作及有关人员
62303,民用航空设备操作及有关人员
62304,水上运输设备操作及有关人员
62305,起重装卸机械操作及有关人员
62309,其他运输设备操作人员及有关人员
62400,环境监测及废物处理人员
62401,环境监测人员
62402,海洋环境调查与检测人员
62403,废物处理人员
62409,其他环境监测与废物处理人员
62500,检验、计量人员
62501,检验人员
62502,航空产品检验人员
62503,航天器检验、测试人员
62504,计量人员
62509,其他检验、计量人员
62706,数据错误
62900,其他生产运输设备操作人员及有关人员
62901,包装人员
62902,机泵操作人员
62903,简单体力劳动人员
63509,数据错误
70000,军人
80000,无职业者分类及代码
90000,不便分类的其他人群
99000,数据错误
99700,零工、临工、散工、打工、工作、上班、务工
99800,工人
99900,技术工人、技工、技术员、操作工
99998,数据错误
99999,无法编码
660405,数据错误
999999,无法编码
